province,regency_city,province_aliases,regency_city_aliases,lat,long
Sumatera Barat,Kota Padang Panjang,"West Sumatra, Sumatera Barat, Sumatera Barat, West Sumatra, West Sumatra","Padang Panjang City, Kota Padang Panjang, Kota Padang Panjang, Padang Panjang City, Padang Panjang City",-0.4661,100.3984
Sumatera Barat,Kota Pariaman,"West Sumatra, Sumatera Barat, Sumatera Barat, Sumatera Barat, West Sumatra","Pariaman City, Kota Pariaman, Kota Pariaman, Kota Pariaman, Pariaman City",-0.6257,100.1233
Sumatera Barat,Kota Payakumbuh,"West Sumatra, Sumatera Barat, West Sumatra, West Sumatra, West Sumatra","Payakumbuh City, Kota Payakumbuh, Payakumbuh City, Payakumbuh City, Payakumbuh City",-0.2298,100.6309
Sumatera Barat,Kota Sawahlunto,"West Sumatra, Sumatera Barat, West Sumatra, West Sumatra, West Sumatra","Sawahlunto, Kota Sawahlunto, Sawahlunto, Sawahlunto, Solok Regency",-0.6841,100.7323
Sumatera Barat,Kota Solok,"West Sumatra, West Sumatra, Sumatera Barat, West Sumatra, West Sumatra","Solok City, Solok City, Kota Solok, Solok Regency, Solok Regency",-0.7885,100.655
Riau,Kabupaten Bengkalis,"Riau, Riau, Riau, Riau, Riau","Bengkalis Regency, Bengkalis Regency, Bengkalis Regency, Bengkalis Regency, Bengkalis Regency",1.4139,101.6158
Riau,Kabupaten Indragiri Hilir,"Riau, Riau, Riau, Riau, Riau","Indragiri Hilir Regency, Indragiri Hilir Regency, Indragiri Hilir Regency, Indragiri Hilir Regency, Indragiri Hilir Regency",-0.1457,102.9896
Riau,Kabupaten Indragiri Hulu,"Riau, Riau, Riau, Riau, Riau","Kabupaten Indragiri Hulu, Indragiri Hulu Regency, Indragiri Hulu Regency, Indragiri Hulu Regency, Indragiri Hulu Regency",-0.7361,102.2548
Riau,Kabupaten Kampar,"Riau, Riau, Riau, Riau, Riau","Kampar Regency, Kampar Regency, Kampar Regency, Kampar Regency",0.1467,101.1617
Riau,Kabupaten Kepulauan Meranti,"Riau, Riau, Riau, Riau, Riau","Kepulauan Meranti Regency, Kabupaten Kepulauan Meranti, Kepulauan Meranti Regency, Kepulauan Meranti Regency, Kepulauan Meranti Regency",0.9209,102.6676
Riau,Kabupaten Kuantan Singingi,"Riau, Riau, Riau, Riau, Riau","Kuantan Singingi, Kuantan Singingi Regency, Kabupaten Kuantan Singingi, Kuantan Singingi Regency, Kuantan Singingi Regency",-0.4412,101.5248
Riau,Kabupaten Pelalawan,"Riau, Riau, Riau, Riau, Riau","Pelalawan Regency, Pelalawan Regency, Pelalawan Regency, Pelalawan Regency",0.1461,102.2548
Riau,Kabupaten Rokan Hilir,"Riau, Riau, Riau, Riau, Riau","Kabupaten Rokan Hilir, Rokan Hilir Regency, Rokan Hilir Regency, Rokan Hilir Regency, Rokan Hilir Regency",1.6464,100.8
Riau,Kabupaten Rokan Hulu,"Riau, Riau, Riau, Riau, Riau","Rokan Hulu Regency, Kabupaten Rokan Hulu, Rokan Hulu Regency, Rokan Hulu Regency, Rokan Hulu Regency",1.0411,100.4397
Riau,Kabupaten Siak,"Riau, Riau, Riau, Riau, Riau","Siak Regency, Siak, Siak Regency, Siak Regency, Siak Regency",0.8119,101.798
Riau,Kota Dumai,"Riau, Riau, Riau, Riau, Riau","Dumai City, Dumai City, Dumai City, Dumai City, Dumai City",1.6666,101.4002
Riau,Kota Pekanbaru,"Riau, Riau, Riau, Riau, Riau","Pekanbaru City, Kota Pekanbaru, Pekanbaru City, Pekanbaru City, Pekanbaru City",0.5071,101.4478
Kepulauan Riau,Kabupaten Bintan,"Riau Islands, Riau Islands, Riau Islands, Riau Islands, Riau Islands","Bintan Regency, Bintan Regency, Bintan Regency, Bintan Regency, Bintan Regency",1.0619,104.5189
Kepulauan Riau,Kabupaten Karimun,"Riau Islands, Kepulauan Riau, Riau Islands, Riau Islands, Riau Islands","Karimun Regency, Kabupaten Karimun, Karimun Regency, Karimun Regency, Karimun Regency",0.7698,103.4049
